ID,Tipo,Ubicación,Dirección,Ambientes,Precio,Moneda,Superficie,Descripción,Fotos,Disponible
39,Venta,Bº PARQUE. PALMARES,Bº PARQUE. PALMARES,0,0,ARS,2631,36,Terreno / Lote. 3 m2,http://www.puyella.com.ar/images/propiedades/39.jpg,Sí
44,Venta,CAMPING CLUB BELGRANO,CAMPING CLUB BELGRANO,0,0,ARS,973,Terreno / Lote. ,http://www.puyella.com.ar/images/propiedades/44.jpg,Sí
181,Venta,"PELLEGRINI 572 (6º A), ENTRE LAS HERAS Y ALVEAR","PELLEGRINI 572 (6º A), ENTRE LAS HERAS Y ALVEAR",3,0,ARS,0,Departamento. 3 Cochera.,"http://www.puyella.com.ar/images/propiedades/181.jpg,http://www.puyella.com.ar/images/propiedades/181/17.jpg,http://www.puyella.com.ar/images/propiedades/181/18.jpg,http://www.puyella.com.ar/images/propiedades/181/20.jpg,http://www.puyella.com.ar/images/propiedades/181/21.jpg,http://www.puyella.com.ar/images/propiedades/181/6.jpg,http://www.puyella.com.ar/images/propiedades/181/8.jpg,http://www.puyella.com.ar/images/propiedades/181/IMG-20180801-WA0005.jpg",Sí
378,Venta,"JUAN B. JUSTO 290, ENTRE ALMAFUERTE Y BOLIVAR","JUAN B. JUSTO 290, ENTRE ALMAFUERTE Y BOLIVAR",3,0,ARS,0,Casa. 3 Cochera.,"http://www.puyella.com.ar/images/propiedades/378.jpg,http://www.puyella.com.ar/images/propiedades/378/11.JPG,http://www.puyella.com.ar/images/propiedades/378/12.JPG,http://www.puyella.com.ar/images/propiedades/378/14.JPG,http://www.puyella.com.ar/images/propiedades/378/15.JPG,http://www.puyella.com.ar/images/propiedades/378/16.JPG,http://www.puyella.com.ar/images/propiedades/378/3.JPG,http://www.puyella.com.ar/images/propiedades/378/4.JPG,http://www.puyella.com.ar/images/propiedades/378/5.JPG,http://www.puyella.com.ar/images/propiedades/378/8.JPG,http://www.puyella.com.ar/images/propiedades/378/9.JPG",Sí
408,Venta,AV IRIGOYEN 1355,AV IRIGOYEN 1355,0,0,ARS,0,Terreno / Lote. ,http://www.puyella.com.ar/images/propiedades/408.jpg,Sí
416,Venta,AV. ILLIA Y DAMASO VALDEZ,AV. ILLIA Y DAMASO VALDEZ,0,0,ARS,0,Terreno / Lote. ,http://www.puyella.com.ar/images/propiedades/416.jpg,Sí
564,Venta,BOLIVAR ESQUINA JUAN B. JUSTO,BOLIVAR ESQUINA JUAN B. JUSTO,3,0,ARS,300,Casa. 3 Cochera.,"http://www.puyella.com.ar/images/propiedades/564.jpg,http://www.puyella.com.ar/images/propiedades/564/20160614_171043.jpg,http://www.puyella.com.ar/images/propiedades/564/20160614_171240.jpg,http://www.puyella.com.ar/images/propiedades/564/20160614_171313.jpg,http://www.puyella.com.ar/images/propiedades/564/20160614_171404.jpg,http://www.puyella.com.ar/images/propiedades/564/20160614_171413.jpg",Sí
605,Venta,"LAMADRID 308, ENTRE JOSE INGENIEROS Y BUSTAMANTE","LAMADRID 308, ENTRE JOSE INGENIEROS Y BUSTAMANTE",3,0,ARS,150,Casa. 3 Cochera.,"http://www.puyella.com.ar/images/propiedades/605.jpg,http://www.puyella.com.ar/images/propiedades/605/11.jpeg,http://www.puyella.com.ar/images/propiedades/605/12.jpeg,http://www.puyella.com.ar/images/propiedades/605/13.jpeg,http://www.puyella.com.ar/images/propiedades/605/16.jpeg,http://www.puyella.com.ar/images/propiedades/605/2.jpeg,http://www.puyella.com.ar/images/propiedades/605/3.jpeg,http://www.puyella.com.ar/images/propiedades/605/4.jpeg,http://www.puyella.com.ar/images/propiedades/605/5.jpeg,http://www.puyella.com.ar/images/propiedades/605/6.jpeg,http://www.puyella.com.ar/images/propiedades/605/7.jpeg,http://www.puyella.com.ar/images/propiedades/605/8.jpeg,http://www.puyella.com.ar/images/propiedades/605/9.jpeg",Sí
606,Venta,"QUIROGA 512, ENTRE ROCA Y ALVEAR","QUIROGA 512, ENTRE ROCA Y ALVEAR",3,0,ARS,300,Casa. 3 Cochera.,"http://www.puyella.com.ar/images/propiedades/606.jpg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 10.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 11.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 15.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 17.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 2.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 3.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 4.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 5.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 6.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 7.jpeg,http://www.puyella.com.ar/images/propiedades/606/QUIROGA 512 8.jpeg",Sí
618,Venta,"B° CUME - HUE, BENTEVEO 3734","B° CUME - HUE, BENTEVEO 3734",3,0,ARS,1620,Casa. 3,"http://www.puyella.com.ar/images/propiedades/618.jpg,http://www.puyella.com.ar/images/propiedades/618/1e5b97d2-aea6-4c86-813a-d0d2017d8060.jpg,http://www.puyella.com.ar/images/propiedades/618/24e680ee-02d8-4cf3-8981-c94803e0624e.jpg,http://www.puyella.com.ar/images/propiedades/618/3449f1ff-9fc0-4ba3-bfea-3782ef957931.jpg,http://www.puyella.com.ar/images/propiedades/618/366868f2-7e28-434c-8aa3-3f6c630e20b0.jpg,http://www.puyella.com.ar/images/propiedades/618/396d8e50-5450-4ca7-867e-4a92d0ad26d9.jpg,http://www.puyella.com.ar/images/propiedades/618/5cb5b278-169c-47b0-ae87-19369d5ce756.jpg,http://www.puyella.com.ar/images/propiedades/618/61e37030-9ec4-4eec-b9bb-f3127028e840.jpg,http://www.puyella.com.ar/images/propiedades/618/657b1d66-bafd-4ed1-a458-f5bd32288cfa.jpg,http://www.puyella.com.ar/images/propiedades/618/6bf9bb7f-6cb1-4f2a-9700-a8b1d99e47aa.jpg,http://www.puyella.com.ar/images/propiedades/618/a076a586-8c71-47f7-8849-f892092636de.jpg,http://www.puyella.com.ar/images/propiedades/618/affdde61-4d71-407b-9995-fd5d8ae12fb8.jpg,http://www.puyella.com.ar/images/propiedades/618/d9bf5f08-260a-4eff-a57c-590a5375de8f.jpg,http://www.puyella.com.ar/images/propiedades/618/db8aca48-d0eb-442d-be87-5670d7ae7cbb.jpg,http://www.puyella.com.ar/images/propiedades/618/e84bb518-05dc-48dd-866b-0258d48ce97f.jpg,http://www.puyella.com.ar/images/propiedades/618/f0cab440-4334-4093-aeac-996ef38756ea.jpg,http://www.puyella.com.ar/images/propiedades/618/fc2f4df3-13b1-4186-8b9f-96e47fa3b010.jpg",Sí
622,Venta,"25 DE MAYO 26, ENTRE NACION Y PELLEGRINI","25 DE MAYO 26, ENTRE NACION Y PELLEGRINI",4,0,ARS,615,Casa. 4,"http://www.puyella.com.ar/images/propiedades/622.jpg,http://www.puyella.com.ar/images/propiedades/622/10.jpeg,http://www.puyella.com.ar/images/propiedades/622/13.jpeg,http://www.puyella.com.ar/images/propiedades/622/14.jpeg,http://www.puyella.com.ar/images/propiedades/622/16.jpeg,http://www.puyella.com.ar/images/propiedades/622/3.jpeg,http://www.puyella.com.ar/images/propiedades/622/5.jpeg,http://www.puyella.com.ar/images/propiedades/622/6.jpeg,http://www.puyella.com.ar/images/propiedades/622/9.jpeg",Sí
623,Venta,"25 DE MAYO 26, ENTRE NACION Y PELLEGRINI","25 DE MAYO 26, ENTRE NACION Y PELLEGRINI",0,0,ARS,0,Terreno / Lote. ,http://www.puyella.com.ar/images/propiedades/623.jpg,Sí
630,Venta,"CHACABUCO 195, ESQUINA LEON GURUCIAGA","CHACABUCO 195, ESQUINA LEON GURUCIAGA",1,0,ARS,0,Departamento. 1 Cochera.,"http://www.puyella.com.ar/images/propiedades/630.jpg,http://www.puyella.com.ar/images/propiedades/630/1.jpg,http://www.puyella.com.ar/images/propiedades/630/2.jpg,http://www.puyella.com.ar/images/propiedades/630/3.jpg,http://www.puyella.com.ar/images/propiedades/630/4.jpg,http://www.puyella.com.ar/images/propiedades/630/5.jpg,http://www.puyella.com.ar/images/propiedades/630/6.jpg,http://www.puyella.com.ar/images/propiedades/630/7.jpg,http://www.puyella.com.ar/images/propiedades/630/8.jpg,http://www.puyella.com.ar/images/propiedades/630/9.jpg",Sí
